,age,education-num,marital-status,relationship,race,sex,capital-gain,capital-loss,hours-per-week,country,employment_type,salary
96,48,16,0,2,0,1,0,1,60,1,2,0
97,37,10,0,2,0,1,0,0,48,1,1,0
98,48,12,1,0,0,0,0,0,40,0,1,1
99,32,9,1,4,3,1,0,0,40,1,0,1
100,76,14,0,2,0,1,0,0,40,1,1,0
101,44,13,0,2,0,1,1,0,60,1,1,0
102,47,14,1,3,0,0,0,0,50,1,2,1
103,20,10,1,4,0,0,0,0,40,1,1,1
104,29,9,1,3,0,1,0,0,40,1,1,1
105,32,9,0,2,0,1,1,0,40,1,2,0
107,30,7,1,4,0,1,0,0,40,1,1,1
108,31,9,1,3,0,0,0,0,40,1,0,1
109,42,9,0,2,0,1,0,0,40,1,1,1
110,24,13,1,5,0,1,0,0,40,1,1,1
111,38,15,0,2,0,1,0,0,40,1,1,0
112,56,9,0,2,0,1,0,1,50,0,2,0
113,28,10,0,1,0,0,1,0,25,1,1,1
114,36,9,1,4,0,0,0,0,40,1,1,1
115,53,5,0,2,0,1,0,0,50,1,1,1
116,56,10,0,2,0,1,0,0,50,1,2,1
117,49,11,0,2,3,1,0,0,40,1,0,0
118,55,10,0,2,0,1,0,0,56,1,1,1
119,22,9,1,3,0,1,0,0,41,1,1,1
120,21,10,1,4,0,0,0,0,40,1,1,1
121,40,13,0,2,0,1,0,0,60,1,1,1
122,30,13,1,4,3,1,0,0,40,0,1,1
123,29,13,0,2,0,1,0,0,50,1,0,0
124,19,10,1,4,3,1,0,0,35,1,1,1
125,47,13,0,1,0,0,0,0,40,1,1,0
126,20,10,1,4,0,0,0,1,28,1,1,1
127,31,12,0,2,0,1,0,0,40,1,1,0
129,39,10,1,3,0,1,0,0,40,1,1,1
130,28,12,1,3,0,0,0,0,60,1,1,1
131,24,9,1,3,0,0,0,1,40,1,1,1
132,38,9,0,2,0,1,1,0,35,1,2,1
133,37,13,0,2,0,1,0,0,50,1,1,1
134,46,12,1,3,3,0,0,0,36,1,1,1
135,38,14,0,2,0,1,0,0,40,0,0,0
136,43,9,0,2,0,1,0,0,60,1,2,1
137,27,11,0,1,0,0,0,0,35,1,1,1
138,20,10,1,4,0,1,0,0,20,1,1,1
139,49,10,0,2,2,1,0,0,40,1,1,0
140,61,9,0,2,0,1,0,0,40,1,2,1
141,27,10,1,4,0,0,0,0,40,1,1,1
142,19,10,1,4,0,1,0,0,30,0,1,1
143,45,11,1,3,0,0,0,1,40,1,1,0
144,70,10,1,5,0,1,0,0,40,1,1,1
145,31,9,1,0,3,0,0,0,30,1,1,1
146,22,10,0,2,0,1,0,0,24,1,1,1
147,36,9,1,0,0,0,0,0,24,1,1,1
148,64,7,0,2,0,1,0,1,40,1,1,1
150,47,10,1,0,0,0,0,0,38,0,0,1
151,34,9,1,3,0,0,0,0,40,1,1,1
152,33,13,1,5,2,0,0,0,40,0,1,1
153,21,9,1,4,0,1,0,0,35,1,1,1
155,48,9,0,2,0,1,0,0,46,1,1,1
156,23,13,1,3,0,1,0,0,40,1,1,1
157,71,10,1,0,3,1,0,1,2,1,2,1
158,29,9,1,3,0,1,0,0,60,1,1,1
159,42,13,1,5,3,1,0,0,50,1,1,1
161,25,9,1,0,0,0,0,0,40,1,1,1
162,44,14,1,0,2,0,0,0,40,1,2,1
163,28,9,1,3,2,0,0,0,40,0,1,1
164,45,14,0,2,0,1,0,0,40,1,2,0
165,36,10,1,0,0,0,0,0,40,0,1,1
166,39,12,1,3,0,1,0,0,42,1,0,1
167,46,14,1,0,0,1,0,0,40,1,0,1
168,18,7,1,4,0,1,0,0,16,1,1,1
169,66,11,1,3,0,0,0,0,20,1,0,1
170,27,9,1,3,0,1,0,1,40,1,1,1
171,28,9,0,2,0,1,0,0,40,1,0,1
172,51,10,0,2,0,1,0,1,40,1,1,0
173,27,13,1,3,0,1,0,0,50,1,1,1
174,28,13,0,2,0,1,0,0,40,1,0,0
175,27,9,1,0,0,0,0,0,25,1,1,1
176,21,9,1,4,3,1,0,0,40,1,1,1
177,34,9,1,3,3,1,0,0,40,1,1,1
178,18,9,1,4,0,1,0,0,12,1,1,1
179,33,13,0,2,0,1,0,0,65,1,1,1
180,44,10,0,2,3,1,0,0,38,1,0,0
181,43,10,1,3,0,0,0,0,40,1,1,1
182,30,10,1,3,3,1,0,0,45,1,1,1
183,40,4,0,2,0,1,0,0,40,0,1,0
184,37,10,0,2,0,1,0,0,42,1,0,0
185,34,9,0,2,3,1,0,0,40,1,1,1
186,41,13,1,3,0,0,0,0,40,1,2,1
188,31,14,0,1,0,0,0,0,50,1,1,1
189,58,16,0,2,0,1,0,0,1,1,0,0
190,38,10,1,3,3,0,0,0,28,1,1,1
191,24,10,0,2,0,1,0,0,40,1,1,1
192,41,13,0,2,3,1,0,0,40,1,0,1
193,47,10,0,2,0,1,0,0,45,1,1,1
194,41,13,0,2,0,1,0,0,24,1,0,1
195,23,3,0,5,0,1,0,0,40,0,1,1
196,36,10,1,3,0,1,0,0,40,1,1,1
197,40,14,1,3,0,0,1,0,55,1,0,0
198,35,14,0,5,0,1,1,0,40,1,1,0
199,24,9,1,3,0,1,0,0,40,1,2,1
200,26,14,1,3,0,0,0,1,40,1,1,1
202,51,13,0,2,0,1,0,0,50,1,1,0
203,42,10,1,3,0,0,0,1,40,1,0,1
204,37,9,1,0,0,0,0,0,35,1,0,1
205,18,7,1,4,0,0,0,0,40,1,1,1
206,36,13,0,2,3,1,1,0,36,1,1,0
207,35,9,1,3,0,1,0,0,60,1,1,1
208,58,9,0,1,0,0,1,0,35,1,2,0
209,17,7,1,4,0,0,0,0,12,1,1,1
210,44,9,0,2,3,1,0,0,40,1,0,1
211,37,9,0,2,0,1,0,0,40,1,1,0
212,35,10,1,3,1,0,0,0,40,1,1,1
213,60,9,0,2,2,1,0,0,40,1,1,1
214,54,4,0,2,0,1,0,0,40,1,2,0
215,37,13,1,3,3,1,0,0,60,1,1,0
216,50,12,1,3,0,0,0,0,40,1,1,1
217,38,13,0,2,0,1,0,0,50,0,1,1
218,45,13,0,2,0,1,0,0,55,1,1,1
219,25,6,1,3,0,1,0,0,40,1,1,1
220,31,10,0,2,0,1,0,0,40,1,1,1
222,90,9,1,3,3,1,0,1,40,1,1,1
223,54,9,0,2,3,1,0,0,20,1,1,1
224,53,1,1,3,0,0,0,0,35,1,0,1
225,18,9,1,4,0,0,0,0,40,1,1,1
227,66,9,0,2,0,1,1,0,50,1,2,1
228,75,11,1,3,0,0,0,0,20,0,1,1
229,65,9,1,3,0,0,0,0,40,1,1,1
230,35,7,1,3,3,1,1,0,40,1,1,1
231,41,9,1,0,3,0,0,0,38,1,1,1
232,25,10,1,3,0,1,0,0,42,1,1,1
233,33,10,1,5,4,0,0,0,40,1,1,1
234,28,15,1,3,0,1,0,0,55,1,1,0
235,59,9,0,2,0,1,0,0,40,1,0,1
236,40,10,1,3,0,0,0,0,38,1,0,1
237,41,13,0,2,0,1,0,0,50,0,1,0
238,38,14,0,2,0,1,0,0,70,1,0,0
239,23,9,1,4,0,1,0,0,40,1,1,1
240,40,13,0,2,0,1,0,0,40,1,1,0
241,41,9,0,1,0,0,0,0,20,1,2,1
242,24,12,0,2,0,1,0,0,50,1,0,1
244,38,10,1,3,0,1,0,1,40,1,1,1
246,58,9,0,2,0,1,0,0,45,1,1,0
247,32,9,1,3,0,0,0,0,34,1,1,1
248,40,12,0,2,0,1,0,1,60,1,1,0
250,41,15,0,1,0,0,0,0,40,1,1,0
251,42,13,0,1,3,0,0,0,40,1,1,1
252,59,6,1,0,3,0,0,0,30,1,0,1
253,19,10,1,4,0,1,0,0,40,1,0,1
254,58,10,1,3,0,1,0,0,20,1,1,1
255,42,9,0,2,2,1,0,0,40,0,2,0
256,20,9,1,4,0,0,0,0,40,1,1,1
257,32,9,1,3,0,0,0,0,30,1,1,1
258,45,11,1,3,0,0,0,0,45,1,1,1
259,50,4,1,3,0,1,0,0,40,1,1,1
260,36,13,1,4,0,0,0,0,40,1,1,1
261,45,9,0,2,0,1,0,0,60,1,1,1
262,17,7,1,4,0,1,0,0,12,1,1,1
263,59,10,0,2,0,1,1,0,40,1,1,1
264,26,7,0,2,0,1,0,0,40,1,1,1
265,37,10,0,2,2,1,0,0,75,0,2,0
267,64,9,0,2,0,1,0,0,40,1,1,0
268,33,13,1,3,0,0,0,0,45,1,1,1
269,33,9,0,1,0,0,0,0,40,1,1,0
270,61,9,0,2,0,1,0,0,40,1,1,0
271,17,5,1,4,0,1,1,0,24,1,1,1
272,50,14,0,2,0,1,1,0,98,1,2,1
273,27,14,1,4,0,1,0,0,35,1,0,1
274,30,9,1,4,0,0,0,0,40,1,1,1
275,43,9,0,2,3,1,0,0,40,1,1,1
276,44,10,0,2,0,1,1,0,40,1,1,0
277,35,10,1,3,0,0,0,0,40,1,1,1
278,25,10,1,4,0,0,0,0,40,1,1,1
279,24,10,0,1,0,0,1,0,48,1,1,0
280,22,13,1,3,0,0,0,0,15,0,1,1
281,42,10,0,2,0,1,1,0,40,1,0,0
282,34,12,1,0,3,0,0,0,45,1,1,1
283,60,13,1,3,0,0,0,0,42,1,1,1
284,21,9,1,4,0,1,0,0,40,1,1,1
285,57,14,0,2,0,1,1,0,40,1,0,0
286,41,15,0,2,0,1,0,0,60,1,1,0
287,50,10,1,3,0,1,0,0,45,1,1,1
288,25,13,1,3,0,0,0,0,40,1,1,1
289,50,4,0,2,0,1,0,0,40,0,1,1
290,36,13,0,2,0,1,0,0,45,1,1,1
291,31,9,1,3,0,0,0,0,40,1,1,1
292,29,13,1,3,0,1,0,0,56,1,0,1
293,21,10,1,4,0,1,0,0,45,1,1,1
294,27,13,1,0,3,0,0,0,40,1,1,1
295,65,9,0,2,0,1,0,0,16,1,1,1
296,37,13,1,3,0,0,0,0,60,1,2,1
298,24,9,1,4,0,1,0,0,40,1,1,1
299,38,9,1,3,0,1,0,0,80,1,1,1
300,48,13,0,2,0,1,1,0,40,1,1,0
301,21,10,1,3,2,0,0,0,25,1,1,1
302,31,9,0,2,0,1,0,0,45,1,1,0
303,55,9,0,2,0,1,1,0,40,1,1,0
304,24,10,0,1,2,0,0,0,40,0,1,1
305,43,9,1,3,0,0,0,0,40,1,1,1
306,26,12,1,3,0,1,0,0,45,1,1,1
307,46,12,1,3,0,0,0,0,33,1,1,1
308,35,12,0,2,0,1,0,0,40,1,1,0
309,41,10,0,2,0,1,0,0,54,1,2,0
310,26,13,1,3,0,1,0,0,40,1,1,1
311,34,14,0,2,2,1,1,0,35,0,1,0
313,36,13,1,3,3,0,0,0,40,1,2,0
314,22,10,1,4,0,1,0,0,15,1,1,1
315,24,10,1,3,0,1,0,0,40,1,1,1
316,77,10,0,2,0,1,0,0,40,1,2,1
317,22,3,0,5,0,0,0,0,40,0,1,1
318,29,10,1,3,0,0,0,0,40,1,1,1
319,62,9,1,3,0,0,0,0,24,1,1,1
320,39,9,0,2,0,1,0,0,40,1,2,1
321,43,10,0,2,0,1,0,1,50,1,1,1
322,35,9,1,3,0,1,0,0,45,1,1,1
323,29,7,1,3,0,0,0,0,40,1,1,1
324,76,14,0,2,0,1,0,0,10,1,2,1
325,63,9,0,2,0,1,0,0,45,1,2,1
327,43,10,0,1,0,0,0,1,50,1,1,0
328,58,9,0,2,0,1,0,0,40,1,2,1
329,66,9,1,3,0,1,1,0,55,1,1,1
330,41,10,1,3,3,1,0,0,45,1,1,1
331,26,13,1,3,0,1,0,0,40,1,1,1
332,47,11,1,3,0,1,0,0,40,1,1,1
333,55,6,0,2,0,1,0,0,40,1,0,1
334,53,9,0,2,0,1,0,0,40,1,1,1
335,17,3,1,5,0,1,0,0,48,0,1,1
336,30,9,1,5,0,1,0,0,40,1,1,1
337,49,14,1,3,0,1,0,0,60,1,1,1
338,19,9,1,0,3,1,0,0,30,0,1,1
339,45,9,0,2,3,1,0,0,40,1,1,1
340,26,12,1,3,0,1,0,0,40,1,1,1
341,38,11,0,2,0,1,1,0,40,1,1,0
342,36,9,0,2,0,1,1,0,40,1,0,0
343,33,9,1,3,0,1,0,0,20,1,1,1
344,22,10,1,4,3,0,0,0,40,1,0,1
345,43,13,1,3,0,1,0,0,42,1,2,1
348,56,12,1,3,0,1,0,0,25,0,1,1
349,31,13,1,4,0,1,0,0,25,1,1,1
350,33,13,0,2,0,1,0,0,40,1,1,0
351,26,9,0,2,0,1,0,0,40,1,1,1
352,33,13,0,2,0,1,0,0,40,1,1,0
353,46,7,0,2,0,1,0,0,30,1,0,1
355,38,9,0,2,0,1,0,0,40,1,0,0
356,65,7,1,0,4,1,0,0,40,1,1,1
357,40,11,0,2,0,1,0,0,40,1,1,0
358,42,9,0,1,0,0,0,0,35,1,1,1
359,26,5,0,2,0,1,0,0,40,0,2,1
360,36,6,0,1,0,0,0,0,24,1,1,1
361,62,14,0,2,0,1,0,0,40,1,1,0
362,43,13,0,2,0,1,0,0,45,1,1,1
363,43,13,1,3,0,1,0,1,45,1,1,0
364,22,9,1,3,0,1,0,0,55,1,1,1
365,28,9,0,2,0,1,0,0,40,1,1,1
366,56,10,0,2,0,1,0,0,45,1,2,1
367,22,12,1,3,0,0,0,0,15,1,1,1
368,57,13,1,3,0,0,0,0,45,1,1,0
369,39,9,1,0,0,0,0,0,40,1,1,1
370,26,10,1,0,0,0,0,0,15,1,0,1
371,17,7,1,4,0,1,0,0,10,1,1,1
372,40,11,0,2,0,1,0,0,38,1,0,0
373,45,9,0,2,3,1,0,0,40,1,1,1
374,44,9,1,3,3,1,0,0,40,1,1,1
375,20,10,1,4,0,0,0,0,10,1,0,1
376,33,9,0,1,0,0,0,0,40,1,1,1
377,23,10,1,3,0,1,0,0,40,1,1,1
378,46,14,1,3,0,1,0,0,30,1,2,1
379,38,9,0,2,0,1,0,0,50,1,1,1
380,54,9,1,3,0,1,0,0,40,1,1,1
381,46,3,1,3,0,0,0,1,45,1,1,1
382,25,10,0,2,0,1,0,0,40,1,1,1
383,46,10,1,3,0,0,0,0,40,1,1,1
384,36,10,0,1,0,0,0,0,40,1,0,1
385,23,9,1,3,0,0,0,0,25,1,1,1
386,29,9,1,3,0,1,0,0,40,1,1,1
387,44,10,0,1,0,0,0,1,6,1,1,0
388,19,10,1,4,0,0,0,0,16,1,1,1
389,19,9,1,5,0,0,0,0,40,1,1,1
390,35,9,0,1,0,0,0,0,40,1,1,0
391,27,13,1,3,0,1,0,0,50,1,1,1
392,46,12,1,3,0,1,0,0,40,1,2,1
394,34,9,1,3,0,0,0,0,35,1,1,1
395,44,10,0,2,0,1,0,0,40,1,1,1
396,45,10,1,0,0,0,0,0,40,1,1,1
398,25,13,0,2,0,1,0,0,55,1,1,0
399,52,13,0,2,0,1,0,0,50,1,2,0
400,20,10,1,4,0,1,0,0,40,1,1,1
401,28,10,1,3,0,0,0,0,40,1,1,1
402,50,13,0,2,0,1,0,0,40,1,0,0
403,34,11,1,3,0,0,0,0,64,1,1,1
404,28,4,0,2,4,1,0,1,40,0,1,1
405,41,14,0,2,0,1,0,1,65,1,1,0
406,28,9,0,2,0,1,0,0,40,1,1,1
407,46,9,0,2,0,1,0,0,25,1,2,1
409,32,10,0,2,0,1,0,0,50,1,1,1
410,41,10,1,3,3,0,0,0,24,1,0,1
411,24,9,1,0,3,0,0,0,40,1,1,1
412,33,10,1,0,0,0,0,0,40,1,1,1
413,46,16,0,2,0,1,1,0,60,1,1,0
414,31,10,0,2,0,1,0,0,40,1,0,1
415,35,8,1,3,0,1,0,0,50,1,1,0
416,52,2,0,2,0,1,0,0,40,0,1,1
417,30,7,1,4,0,0,0,0,19,1,1,1
418,34,7,1,3,3,1,0,0,40,1,0,1
419,34,9,1,0,0,0,0,0,40,1,0,1
420,20,10,0,2,0,1,0,0,30,1,1,1
421,17,7,1,4,0,1,1,0,18,1,1,1
422,32,13,0,1,0,0,0,0,40,1,0,0
423,29,9,1,3,0,1,0,0,40,1,1,1
424,33,6,1,0,0,0,0,0,35,1,1,1
425,25,9,0,2,0,1,0,0,60,1,1,1
426,36,14,1,3,0,1,0,1,40,1,0,1
427,23,9,1,3,0,1,0,0,72,0,1,1
428,63,9,0,2,0,1,0,0,40,1,2,0
429,47,14,0,2,0,1,0,0,40,1,0,1
432,40,13,1,3,0,0,1,0,40,1,2,1
433,30,12,0,1,0,0,0,0,25,1,1,0
434,27,10,1,4,2,1,0,1,40,0,1,1
435,33,14,0,2,0,1,0,0,50,1,1,0
436,34,9,1,3,3,1,1,0,60,1,0,1
437,34,10,1,3,0,0,0,0,40,1,0,1
438,23,10,0,2,0,1,0,0,40,1,1,1
439,42,10,0,1,0,0,0,0,40,1,0,1
440,29,13,1,3,0,1,0,0,40,1,1,1
441,45,9,1,3,0,0,0,0,28,1,1,1
442,24,9,1,4,0,1,0,0,40,1,0,1
443,44,10,0,2,0,1,0,0,40,1,1,0
444,27,5,1,5,0,1,0,0,40,0,1,1
445,20,10,1,3,0,1,0,0,35,1,1,1
446,44,9,1,0,3,0,0,0,40,1,1,1
447,51,9,0,2,1,1,0,0,40,1,1,1
448,20,9,0,2,0,1,0,0,40,1,1,1
450,19,9,1,4,3,0,0,0,40,1,1,1
451,45,10,0,2,0,1,0,0,55,1,2,0
452,60,9,0,2,0,1,0,0,40,1,1,0
454,44,9,0,1,0,0,0,0,40,1,2,0
455,40,11,0,2,2,1,0,0,40,1,1,0
456,30,9,0,1,0,0,0,0,40,1,1,1
457,38,10,0,2,3,1,0,0,50,1,1,1
458,23,9,0,2,0,1,0,0,60,1,1,1
460,44,12,1,4,0,1,0,0,40,1,1,1
461,54,9,0,2,3,1,0,0,40,1,0,1
462,32,13,0,2,0,1,0,0,50,1,1,1
463,50,2,1,0,0,1,0,0,40,1,1,1
464,24,13,1,3,0,0,0,0,20,1,1,1
465,37,9,0,1,0,0,0,0,60,1,1,1
466,52,9,1,0,0,1,0,0,40,1,1,1
467,38,10,0,2,0,1,0,0,40,1,1,1
468,49,14,0,2,0,1,0,1,45,1,1,0
469,30,13,0,1,0,0,0,0,16,1,1,0
470,60,10,1,0,0,1,0,0,40,1,1,0
472,35,9,1,3,0,1,0,0,40,1,1,1
473,30,9,1,3,0,1,0,0,60,1,1,1
474,67,11,1,3,0,0,0,0,24,1,1,1
475,46,13,1,3,0,0,0,0,40,1,1,1
476,17,5,1,3,0,1,0,0,6,1,1,1
477,22,10,1,4,0,1,0,0,30,1,1,1
478,27,6,1,3,0,1,0,0,40,1,1,1
479,23,9,1,0,0,0,0,0,35,1,1,1
480,33,12,0,2,0,1,0,0,45,0,1,1
481,43,10,0,2,0,1,0,0,20,1,2,1
482,28,13,1,3,0,1,0,0,20,1,0,1
483,41,9,1,0,0,0,0,0,40,1,1,1
485,25,10,1,4,3,0,0,0,20,1,1,1
487,59,9,0,2,0,1,0,0,45,1,0,1
488,45,13,1,0,0,0,0,0,40,1,0,1
489,38,13,0,2,0,1,1,0,60,1,1,0
490,40,9,1,3,0,0,0,0,35,1,1,1
491,46,9,1,3,0,1,0,0,40,1,0,1
492,35,12,1,3,0,0,0,0,60,1,1,1
493,34,9,1,0,0,0,0,0,25,1,1,1
494,33,13,1,4,0,1,0,0,20,1,1,1
495,41,9,1,0,0,0,0,0,36,1,1,1
496,20,10,1,4,0,1,0,0,40,1,1,1
497,23,3,1,4,0,1,0,0,40,0,1,1
498,26,10,1,3,0,0,0,0,35,1,1,1
500,23,9,1,3,0,1,0,0,40,0,0,1
501,62,9,0,2,0,1,0,0,40,1,0,1
502,52,10,0,2,0,1,0,0,40,1,1,1
503,58,10,1,0,0,0,0,0,42,0,1,1
504,25,13,1,3,0,0,0,0,40,1,1,1
505,24,13,1,3,3,1,0,0,40,1,1,1
506,19,10,1,4,0,1,0,0,8,1,1,1
507,43,10,0,2,0,1,0,0,40,1,1,1
508,47,9,1,0,3,0,0,0,40,1,0,1
509,39,9,1,0,0,0,0,0,40,1,1,1
510,49,11,1,0,0,1,0,1,42,1,1,1
512,32,11,1,3,0,1,0,0,45,1,1,1
513,34,10,0,2,0,1,0,0,50,1,1,0
514,28,9,1,3,0,1,0,0,45,1,1,1
516,25,10,1,3,1,0,0,0,20,1,1,1
519,34,13,0,2,0,1,0,0,50,1,1,0
520,38,13,0,2,0,1,1,0,80,1,2,0
521,50,9,0,2,0,1,1,0,50,1,1,0
522,24,10,1,3,3,1,0,0,50,1,0,1
523,37,10,0,2,0,1,0,0,45,1,0,0
524,44,10,1,0,0,1,0,0,58,1,1,0
525,28,10,0,1,0,0,0,0,40,1,1,1
526,42,13,0,2,0,1,0,0,40,1,1,0
527,74,10,1,3,0,0,0,0,9,1,1,1
528,38,9,0,2,0,1,0,0,50,1,2,1
529,44,14,0,2,0,1,0,0,40,1,2,1
530,44,7,1,0,4,0,0,0,46,0,1,1
531,26,9,1,3,0,1,0,0,40,1,1,1
532,36,9,0,2,3,1,0,0,40,1,1,1
533,41,12,0,1,0,0,0,0,50,1,1,0
534,67,15,0,2,0,1,1,0,48,1,1,0
535,39,8,0,2,0,1,0,0,50,1,0,1
536,57,2,1,3,3,0,0,0,30,1,1,1
537,29,11,1,3,0,1,0,0,40,1,1,1
538,31,13,1,3,0,0,0,0,45,1,2,1
540,44,10,0,2,0,1,0,0,40,1,1,1
541,29,16,1,4,0,1,0,0,40,1,1,1
542,30,10,1,0,0,0,0,0,40,1,1,1
543,27,9,1,3,0,1,0,0,40,1,1,1
544,27,10,0,2,0,1,0,0,50,1,1,1
545,32,9,1,3,0,0,0,0,45,1,1,1
546,58,6,0,1,0,0,0,0,8,1,1,1
547,35,10,0,2,0,1,0,0,40,1,0,1
548,21,9,1,4,0,1,0,0,36,1,1,1
549,28,10,1,0,0,1,0,0,40,1,1,1
550,46,10,1,3,0,1,0,0,50,1,2,1
551,36,9,1,0,0,0,0,0,40,1,2,1
552,72,7,1,0,0,0,0,0,40,1,1,1
553,35,9,0,1,3,0,0,0,40,1,1,1
554,33,11,1,0,3,0,0,0,40,1,0,0
555,69,7,1,3,0,0,0,0,40,1,1,1
556,35,9,0,2,0,1,0,0,40,1,1,1
558,34,9,0,1,0,0,0,0,32,1,1,1
559,30,7,0,2,0,1,0,0,40,0,1,1
560,28,13,1,3,0,1,0,0,55,1,1,1
561,54,13,0,2,0,1,0,0,35,1,1,0
562,47,10,0,2,0,1,0,0,50,1,1,0
563,24,9,1,0,3,0,0,0,40,1,1,1
564,52,13,0,2,0,1,0,0,60,1,2,0
565,20,9,1,4,1,1,0,0,48,1,1,1
566,43,14,0,2,0,1,1,0,45,1,2,1
567,45,4,1,0,0,0,0,0,40,0,1,1
568,29,9,1,3,0,1,0,0,35,1,2,1
569,47,14,1,0,0,1,0,0,42,1,1,1
570,24,9,1,4,0,1,0,0,40,1,1,1
571,51,9,0,2,0,1,0,0,40,1,1,1
572,17,7,1,4,0,1,0,0,12,1,1,1
573,37,11,0,2,0,1,0,1,40,1,1,0
574,27,16,1,3,0,0,0,0,70,1,1,1
575,29,13,0,1,0,1,0,0,40,1,1,0
577,36,12,1,0,0,0,0,0,35,1,2,1
578,58,13,1,3,0,0,0,0,40,1,0,1
579,26,10,0,2,0,1,0,0,45,1,2,1
